repo_name,repo_url,repo_id,discription,date_created,date_last_push,homepage,repo_language,forks_count,stars_count,owner
Solidity-Programming-Cookbook,https://github.com/PacktPublishing/Solidity-Programming-Cookbook,163972253,"Solidity Programming Cookbook, published by Packt",2019-01-03 12:48:09,2021-01-18 07:53:57,,Solidity,1,3.0,PacktPublishing
GCGDebtTokenDraftFlatToken,https://github.com/jacobsteenhuysen/GCGDebtTokenDraftFlatToken,164016063,"This is just an attempt at a flat token that is erc1404 that hopefully can be whitelisted, minted, burned and paused and is indivisible. ",2019-01-03 19:47:14,2020-11-29 02:39:41,,Solidity,0,1.0,jacobsteenhuysen
PlastiCoin-Smart-Contracts,https://github.com/mw2000/PlastiCoin-Smart-Contracts,164045875,Smart Contracts for PlastiCoin,2019-01-04 02:13:28,2020-10-20 08:50:40,,Solidity,0,0.0,mw2000
solidity-prac,https://github.com/anomie7/solidity-prac,164093745,???? ?????? ?? ?? ??(????)? ?? ???? 0.5.0 ??? ?? ??,2019-01-04 10:30:10,2019-01-09 06:34:41,,Solidity,0,0.0,anomie7
SecurityTokenDemo_SC,https://github.com/chaitanyapotti/SecurityTokenDemo_SC,164098977,Kyber reserve for security token,2019-01-04 11:25:26,2022-04-09 03:23:41,,Solidity,0,0.0,chaitanyapotti
poc-council-token,https://github.com/Itheum/poc-council-token,164103142,Code for ERC20 Itheum Council Token,2019-01-04 12:10:17,2021-12-11 00:31:53,,Solidity,0,0.0,Itheum
ds-pause,https://github.com/dapphub/ds-pause,164132216,Schedule function calls that can only be executed once some delay has elapsed,2019-01-04 16:49:13,2022-03-04 17:58:17,,Solidity,17,21.0,dapphub
talao-contracts,https://github.com/TalaoDAO/talao-contracts,164150352,Talao smart contracts.,2019-01-04 20:09:52,2021-02-18 19:59:17,,Solidity,0,1.0,TalaoDAO
dice2win-subgraph,https://github.com/lutter/dice2win-subgraph,164159806,Collect information about the dice2win smart contract,2019-01-04 22:12:49,2022-04-28 22:12:26,,Solidity,1,3.0,lutter
coineru,https://github.com/mtxset/coineru,164202789,,2019-01-05 10:00:18,2019-01-09 09:56:22,,Solidity,0,0.0,mtxset
erc20-token,https://github.com/HakkerSka/erc20-token,164301436,ERC20 token ,2019-01-06 11:40:07,2020-10-04 04:08:21,,Solidity,0,1.0,HakkerSka
blockcycle,https://github.com/christianhjelmslund/blockcycle,164341271,Decentralized bike insurance deployable on the Ethereum blockchain,2019-01-06 20:05:33,2020-03-26 17:03:02,,Solidity,0,0.0,christianhjelmslund
erc721-smart-contract,https://github.com/alpersonalwebsite/erc721-smart-contract,164509479,DApp with custom implementation of ERC-721,2019-01-07 22:48:34,2022-03-22 22:04:45,,Solidity,3,56.0,alpersonalwebsite
Solidity-Utility,https://github.com/YutaSugimura/Solidity-Utility,164666272,,2019-01-08 14:28:39,2019-01-08 15:29:43,,Solidity,0,0.0,YutaSugimura
medit-token,https://github.com/CitizenHealth/medit-token,164687945,Medit Token and contract ecosystem ,2019-01-08 16:19:49,2021-05-09 04:13:01,,Solidity,0,1.0,CitizenHealth
requestable-ds-token,https://github.com/Onther-Tech/requestable-ds-token,164769337,,2019-01-09 02:14:40,2019-09-30 05:37:33,,Solidity,0,0.0,Onther-Tech
coineru-coins,https://github.com/coineru/coineru-coins,164840965,,2019-01-09 10:25:30,2019-01-16 17:17:51,,Solidity,0,0.0,coineru
EraSwapSmartContracts,https://github.com/KMPARDS/EraSwapSmartContracts,164997403,Era Swap Smart Contract,2019-01-10 05:41:46,2022-04-09 01:00:43,,Solidity,5,1.0,KMPARDS
sai,https://github.com/Onther-Tech/sai,165023472,,2019-01-10 08:44:23,2019-09-24 14:44:57,,Solidity,0,0.0,Onther-Tech
Pr000xy,https://github.com/0age/Pr000xy,165150939,A public utility ERC20 for creating & claiming transparent proxies with gas-efficient addresses.,2019-01-11 00:18:47,2019-02-09 17:41:30,,Solidity,5,40.0,0age
x20-auction-contract,https://github.com/X20Network/x20-auction-contract,165269829,,2019-01-11 15:58:16,2019-01-21 18:18:52,,Solidity,0,0.0,X20Network
solidity_smart_contracts_prac,https://github.com/adilsachwani/solidity_smart_contracts_prac,165355846,,2019-01-12 06:37:26,2019-01-13 06:01:56,,Solidity,0,0.0,adilsachwani
SST-ERC20,https://github.com/SesameToken/SST-ERC20,165357525,The SST ERC20 Token,2019-01-12 06:58:34,2019-01-23 18:05:52,,Solidity,0,1.0,SesameToken
dex_contracts,https://github.com/JimmyHongjichuan/dex_contracts,165366421,,2019-01-12 08:47:43,2019-01-13 03:51:39,,Solidity,0,0.0,JimmyHongjichuan
optimistic-zkdai,https://github.com/atvanguard/optimistic-zkdai,165388436,An optimistic implementation of ZkDai,2019-01-12 13:03:48,2019-01-17 03:18:27,,Solidity,5,15.0,atvanguard
poker-dapp,https://github.com/zhuchentong/poker-dapp,165683108,,2019-01-14 15:16:37,2022-04-16 09:01:20,,Solidity,0,0.0,zhuchentong
ExerciseC6A,https://github.com/techbubble/ExerciseC6A,165725117,,2019-01-14 19:52:07,2022-02-11 14:53:42,,Solidity,6,2.0,techbubble
ArianeeStore,https://github.com/Arianee/ArianeeStore,165833845,,2019-01-15 10:45:57,2022-02-13 12:24:50,,Solidity,2,2.0,Arianee
ArianeeMaster,https://github.com/Arianee/ArianeeMaster,165857591,Smart contracts & tools for Arianee Protocol,2019-01-15 13:40:28,2022-04-29 12:06:54,https://arianee.org,Solidity,4,26.0,Arianee
solidity,https://github.com/sanadar/solidity,166031901,Ethereum smart-contracts,2019-01-16 11:51:53,2019-02-04 10:33:10,,Solidity,0,0.0,sanadar
ethereum-workshop,https://github.com/brunneis/ethereum-workshop,166109787,Source files for the Blockchain.gal workshop at CESGA (2019/01/17),2019-01-16 20:49:02,2020-11-13 02:25:00,https://blockchain.gal,Solidity,1,0.0,brunneis
solidity-poker-chips,https://github.com/RyanHendricks/solidity-poker-chips,166311226,Tracking player balances :bank: for poker games :black_joker:,2019-01-17 23:19:38,2019-03-13 04:25:08,,Solidity,0,0.0,RyanHendricks
GIF,https://github.com/etherisc/GIF,166412471,Generic Insurance Framework,2019-01-18 13:52:07,2021-12-09 14:42:04,https://etherisc-gif-manual.readthedocs.io/en/latest/,Solidity,19,78.0,etherisc
iexec-solidity,https://github.com/iExecBlockchainComputing/iexec-solidity,166422839,toolbox for smartcontract,2019-01-18 15:09:02,2020-11-12 14:15:54,,Solidity,1,8.0,iExecBlockchainComputing
nft-adapter,https://github.com/makerdao/nft-adapter,166465757,Adapter for EIP-721 compatible NFTs,2019-01-18 20:02:27,2019-04-05 19:16:15,,Solidity,5,7.0,makerdao
reading-list,https://github.com/zeddee/reading-list,166688300,An effort to keep track of the rabbit holes I keep falling into.,2019-01-20 17:21:03,2021-08-12 22:47:32,https://shootbird.work,Solidity,0,1.0,zeddee
bachelor_thesis,https://github.com/dhohner/bachelor_thesis,166703344,,2019-01-20 20:00:42,2022-02-12 08:31:26,,Solidity,0,0.0,dhohner
argent-contracts,https://github.com/argentlabs/argent-contracts,166830546,Smart Contracts for Argent Wallet,2019-01-21 14:48:26,2022-04-29 09:18:01,,Solidity,116,324.0,argentlabs
suc,https://github.com/dappsar/suc,166860780,Salva un Caballo,2019-01-21 18:28:52,2019-04-18 19:17:29,,Solidity,0,1.0,dappsar
liquid,https://github.com/convergentcx/liquid,166924325,Liquid tokens for artists and creators.,2019-01-22 03:58:36,2020-11-19 13:34:08,,Solidity,2,1.0,convergentcx
multisig-wallet-contract,https://github.com/dragonheaven/multisig-wallet-contract,166958756,Simple Multisig wallet contract in Solidity,2019-01-22 08:43:14,2019-01-22 08:48:54,,Solidity,0,0.0,dragonheaven
corso-ethereum,https://github.com/ChainAcademy/corso-ethereum,166973501,Corso di programmazione con Ethereum,2019-01-22 10:19:46,2022-03-09 10:44:36,,Solidity,0,2.0,ChainAcademy
TheFaustFlick,https://github.com/estudios-amazonia/TheFaustFlick,167200629,A comedy film for the 10.4 million LatinX frequent moviegoer.,2019-01-23 14:54:47,2021-05-08 07:22:43,http://TheFaustFlick.com,Solidity,2,2.0,estudios-amazonia
example-subgraph,https://github.com/graphprotocol/example-subgraph,167259520,An example to help you get started with The Graph,2019-01-23 21:49:19,2022-04-28 19:47:11,,Solidity,89,117.0,graphprotocol
Shilling-Old-code,https://github.com/yavwa/Shilling-Old-code,167272131,old code - for reference Only,2019-01-23 23:53:26,2021-11-01 07:56:59,,Solidity,1,0.0,yavwa
camx-ethereum,https://github.com/yingliqiao/camx-ethereum,167303118,Truffle project for alarm storage smart contract,2019-01-24 04:29:32,2019-01-25 02:52:38,,Solidity,1,1.0,yingliqiao
heikenet-smartcontracts,https://github.com/coderbunker/heikenet-smartcontracts,167322218,,2019-01-24 07:20:57,2019-01-31 07:21:55,,Solidity,0,0.0,coderbunker
moxie-init-bare,https://github.com/moxiesuite/moxie-init-bare,167384863,,2019-01-24 14:55:21,2021-02-08 17:33:15,,Solidity,0,0.0,moxiesuite
solidity-magic-square,https://github.com/moxiesuite/solidity-magic-square,167384959,,2019-01-24 14:55:49,2019-01-24 14:59:17,,Solidity,0,0.0,moxiesuite
galtproject-geodesic,https://github.com/galtproject/galtproject-geodesic,167390727,??Solidity Libraries for coordinate transformation operations and various implementations of computational geometry algorithms for operations with polygons.,2019-01-24 15:32:23,2020-02-26 23:44:20,https://app.galtproject.io/,Solidity,2,3.0,galtproject
0x-instant-demo,https://github.com/robinpan1/0x-instant-demo,167392813,,2019-01-24 15:45:53,2019-01-27 15:11:04,,Solidity,0,0.0,robinpan1
testnet-token-contracts,https://github.com/maticnetwork/testnet-token-contracts,167538718,,2019-01-25 11:42:07,2022-02-11 18:18:22,,Solidity,9,9.0,maticnetwork
Custom-Smart-Contracts,https://github.com/Reptar-IT/Custom-Smart-Contracts,167649191,,2019-01-26 04:23:39,2021-10-29 22:52:19,,Solidity,0,0.0,Reptar-IT
final-project-hav-noms,https://github.com/hav-noms/final-project-hav-noms,167663795,final-project-hav-noms created by GitHub Classroom,2019-01-26 07:49:39,2019-01-30 07:21:11,,Solidity,0,1.0,hav-noms
edge-chain,https://github.com/iagotd/edge-chain,167844820,"Design and implementation of a blockchain architecture, located on the edge, to provide secure support, reliability, monitoring and malicious behavior control of IoT devices.",2019-01-27 18:44:18,2020-07-23 14:39:35,,Solidity,0,1.0,iagotd
final-project-nicholashc,https://github.com/dev-bootcamp-2019/final-project-nicholashc,167935341,final-project-nicholashc created by GitHub Classroom,2019-01-28 09:33:02,2019-01-28 09:33:58,,Solidity,0,0.0,dev-bootcamp-2019
crypto-vote,https://github.com/PLUSPLUS-JP/crypto-vote,168080664,A mechanism for creating questionnaires in blockchains and accepting votes.,2019-01-29 03:13:24,2019-04-12 03:35:56,https://lab.plusplus.jp/crypto-vote/,Solidity,2,1.0,PLUSPLUS-JP
token,https://github.com/relevant-community/token,168080716,token,2019-01-29 03:13:47,2022-04-10 02:31:32,,Solidity,5,12.0,relevant-community
file-identity-verification,https://github.com/PLUSPLUS-JP/file-identity-verification,168081000,Implementation to manage hash value of file data in block chain,2019-01-29 03:16:11,2019-04-09 03:12:28,,Solidity,2,0.0,PLUSPLUS-JP
zCryptoZombies_r2,https://github.com/jordanonuma/zCryptoZombies_r2,168084143,Third round through CryptoZombies,2019-01-29 03:41:14,2019-04-27 20:31:53,,Solidity,0,0.0,jordanonuma
HangMan,https://github.com/CJ42/HangMan,168131237,A simple implementation of a Guessing Game (HangMan) into a SmartContract written Solidity. (This is a learning project),2019-01-29 09:53:43,2020-06-28 08:57:55,,Solidity,0,1.0,CJ42
prediction-market,https://github.com/decent-bet/prediction-market,168143673,Decent.bet prediction market monorepo,2019-01-29 11:30:09,2021-11-03 17:59:20,,Solidity,2,4.0,decent-bet
smart-contracts,https://github.com/gbrasmart/smart-contracts,168380995, Official smart contracts behind Ra-Smart Platform,2019-01-30 17:02:45,2019-02-05 14:10:45,,Solidity,0,0.0,gbrasmart
internal-distribution-token,https://github.com/godappslab/internal-distribution-token,168501045,Implementation of Internal Distribution Token,2019-01-31 09:46:47,2019-03-29 03:20:39,https://lab.godapps.io/points/,Solidity,0,2.0,godappslab
token-transfer,https://github.com/godappslab/token-transfer,168501329,Implementation for exchanging from Internal Distribution Token to ERC20/223 Token,2019-01-31 09:48:41,2019-03-29 03:20:53,,Solidity,0,1.0,godappslab
crudUS,https://github.com/pmurzin/crudUS,168530731,"Simple smart contract in ethereum that stores the US States, their largest cities and their Diet and state populations. ",2019-01-31 13:36:25,2019-01-31 13:51:02,,Solidity,0,0.0,pmurzin
ramp-contracts,https://github.com/ripio/ramp-contracts,168562711,Ramps allow lend and pay to be made with any ERC-20 token while the protocol receiving RCN their token.,2019-01-31 17:05:56,2021-07-12 14:33:34,,Solidity,3,2.0,ripio
crypto_security,https://github.com/shane-kirkley/crypto_security,168578133,"Code for Cryptocurrency Security course at CU Boulder, Spring '19 - Professor Eric Wustrow",2019-01-31 18:50:53,2021-01-25 19:12:04,,Solidity,0,0.0,shane-kirkley
ERC820a,https://github.com/jbaylina/ERC820a,168696764,EIP 820a - Pseudo-introspaection using a registry contract,2019-02-01 12:49:38,2019-04-17 10:14:26,,Solidity,3,2.0,jbaylina
Cheatsheets,https://github.com/jerryq27/Cheatsheets,168776030,,2019-02-02 00:07:10,2022-04-13 06:13:13,,Solidity,0,3.0,jerryq27
Carbonomy,https://github.com/DarrenZal/Carbonomy,168795993,Digital carbon economy,2019-02-02 04:59:39,2020-11-22 02:55:12,,Solidity,1,1.0,DarrenZal
atstake,https://github.com/atstake/atstake,168812630,open source code for Atstake,2019-02-02 08:48:57,2020-11-11 10:37:49,,Solidity,1,8.0,atstake
plasma-evm-api-server,https://github.com/Onther-Tech/plasma-evm-api-server,168815262,,2019-02-02 09:23:25,2022-02-11 01:00:33,,Solidity,0,0.0,Onther-Tech
blockgeeks_security,https://github.com/gorbunovperm/blockgeeks_security,168917369,Smart Contract Security Accelerated Program Examples,2019-02-03 06:38:20,2019-02-03 09:12:58,,Solidity,0,1.0,gorbunovperm
Fasttoken,https://github.com/BetConstruct/Fasttoken,169048947,,2019-02-04 08:37:09,2021-09-27 09:15:16,,Solidity,2,3.0,BetConstruct
simpleshares,https://github.com/clearmatics/simpleshares,169138016,Implementation of DvP using Ion Interoperability Framework,2019-02-04 19:45:56,2021-08-13 20:31:58,,Solidity,2,3.0,clearmatics
left-gallery-token,https://github.com/georgerobescu/left-gallery-token,169265452,erc-721 nft smart contract with restricted edition sizes and provenance chain,2019-02-05 15:42:23,2018-11-10 09:23:54,https://left.gallery/,Solidity,0,1.0,georgerobescu
DAO,https://github.com/daly-ventures/DAO,169436813,"This is the code to build a decentralized and democratic Investment organization that exists solely on the blockchain, but that can do anything that a simple account would be able to. The organization has a central manager that decides who are the members and the voting rules. Any member can make a proposal, which is in the form of an ethereum transaction to either send ether or execute some contract, and other members can vote in support or against the proposal.",2019-02-06 16:24:47,2022-02-08 13:58:15,,Solidity,0,0.0,daly-ventures
0x-hackathon-contracts,https://github.com/microsponsors/0x-hackathon-contracts,169529477,[DEPRECATED] ERC721 contract developed for the 0x Hackathon with Truffle and Ganache.,2019-02-07 06:34:25,2020-02-05 00:00:08,,Solidity,0,0.0,microsponsors
rock-paper-scissors,https://github.com/jha929/rock-paper-scissors,169787384,A Solidity implementation of a simple smart contract which illustrates the game of rock-paper-scissors.,2019-02-08 19:26:18,2021-03-09 12:03:32,,Solidity,5,2.0,jha929
Contracts_new,https://github.com/BalaChandrap/Contracts_new,169837798,Sample solidity contracts,2019-02-09 06:09:52,2021-06-25 15:37:51,,Solidity,0,1.0,BalaChandrap
playingwithblocks,https://github.com/vyasakanksha/playingwithblocks,169838185,Learning about the blockchain ,2019-02-09 06:16:14,2020-12-05 08:13:54,,Solidity,0,0.0,vyasakanksha
COMP6451-MyStuffT02019,https://github.com/TAbdiukov/COMP6451-MyStuffT02019,170129140,self explanatory,2019-02-11 12:59:44,2019-03-24 18:43:54,,Solidity,0,1.0,TAbdiukov
xank-erc-20-token,https://github.com/xankmoney/xank-erc-20-token,170148171,Xank ERC-20 Token,2019-02-11 15:02:39,2022-02-11 17:10:28,,Solidity,1,0.0,xankmoney
DecentralisedVotingSystem,https://github.com/Biswajee/DecentralisedVotingSystem,170375072,Barebone prototype for a decentralized voting system in solidity. ,2019-02-12 19:08:23,2019-10-06 15:54:36,,Solidity,0,1.0,Biswajee
requestable-erc20-wrapper-token,https://github.com/Onther-Tech/requestable-erc20-wrapper-token,170476795,,2019-02-13 09:13:09,2020-01-21 05:38:10,,Solidity,0,0.0,Onther-Tech
codestars_blockchain_course,https://github.com/tomw1808/codestars_blockchain_course,170505683,,2019-02-13 12:38:33,2022-02-08 07:18:09,,Solidity,9,11.0,tomw1808
airChain,https://github.com/r1oga/airChain,170544180,Ethereum DApp to manage an aircraft manufacturing supply chain,2019-02-13 16:52:45,2021-09-02 11:38:58,https://r1oga.github.io/airChain,Solidity,1,4.0,r1oga
DividendPayingTokenContract,https://github.com/bokkypoobah/DividendPayingTokenContract,170602457,Dividend Paying Token Contract - NOTE THAT THIS IS FOR AN EXERCISE!,2019-02-14 00:49:48,2019-03-08 12:04:57,,Solidity,2,4.0,bokkypoobah
thisartworkisalwaysonsale,https://github.com/simondlr/thisartworkisalwaysonsale,170678529,A digital art project on Ethereum that uses harberger tax to have an always-on auction. Tax is patronage to artist.,2019-02-14 11:09:07,2022-04-10 04:52:13,https://thisartworkisalwaysonsale.com,Solidity,32,54.0,simondlr
solidty-contracts-code,https://github.com/cordero67/solidty-contracts-code,170712620,Test Solidity Code,2019-02-14 15:23:29,2021-12-03 15:05:15,,Solidity,1,0.0,cordero67
SupplyChain,https://github.com/NemboKid/SupplyChain,170751806,A Supply Chain written in Solidity,2019-02-14 20:13:32,2019-02-14 20:20:45,,Solidity,1,0.0,NemboKid
cdc-token,https://github.com/Cdiamondcoin/cdc-token,170847245,CDC Token of Cdiamondcoin OU,2019-02-15 10:31:16,2020-02-03 16:52:32,,Solidity,1,1.0,Cdiamondcoin
constant-smart-contract,https://github.com/constant-money/constant-smart-contract,171237106,,2019-02-18 07:40:21,2022-03-22 09:22:11,,Solidity,4,4.0,constant-money
OrderStatisticsTree,https://github.com/rob-Hitchens/OrderStatisticsTree,171383853,Solidity - Self-Balancing Binary Search Tree with Order Statistics,2019-02-19 01:35:14,2020-11-15 07:37:41,,Solidity,14,55.0,rob-Hitchens
dss-cdp-manager,https://github.com/michaelelliot/dss-cdp-manager,171404875,,2019-02-19 04:26:57,2019-02-27 08:58:57,,Solidity,0,0.0,michaelelliot
bounty.codex-registry,https://github.com/hdulqs/bounty.codex-registry,171588729,,2019-02-20 02:46:38,2018-07-12 23:14:08,,Solidity,0,0.0,hdulqs
Lottery,https://github.com/cmjjezze/Lottery,171598934,Design / Process flow for the Lottery,2019-02-20 04:09:28,2020-12-03 03:26:41,,Solidity,0,0.0,cmjjezze
TRONISH_TOKEN,https://github.com/MyWishPlatform/TRONISH_TOKEN,171703596,SOURCE CODE OF TRONISH TOKEN ,2019-02-20 15:59:45,2019-02-21 09:32:19,,Solidity,1,0.0,MyWishPlatform
Crowdsale-solidity-contracts,https://github.com/b-d1/Crowdsale-solidity-contracts,171753779,,2019-02-20 21:42:24,2020-12-27 18:15:02,,Solidity,0,1.0,b-d1
record_Store_Dapp,https://github.com/randykeller11/record_Store_Dapp,171755149,Solidity smart contract for a decentralized record store using ERC 720 and ERC 20 tokens,2019-02-20 21:53:52,2019-02-28 07:17:37,,Solidity,0,1.0,randykeller11
solidity-cron,https://github.com/buendiadas/solidity-cron,171816114,[Unmantained] Lazy EVM clocks,2019-02-21 06:47:12,2022-04-09 03:07:44,,Solidity,2,5.0,buendiadas
BlockChain,https://github.com/sahilgrg109/BlockChain,171923798,Smart Contracts,2019-02-21 18:31:46,2020-10-27 17:12:25,,Solidity,0,0.0,sahilgrg109
SnowflakeInvoicing,https://github.com/clemlak/SnowflakeInvoicing,172030119,"Ethereum smart contract built on top of Hydro Snowflake that allows a business to invoice another business or consumer for a specific amount, on a specified date, and in a certain amount of Hydro.",2019-02-22 08:51:40,2019-03-16 15:34:41,,Solidity,0,2.0,clemlak
Smartcontract-Laxmicoin-ICO,https://github.com/mdsalik7/Smartcontract-Laxmicoin-ICO,172038143,Creating a Smart Contract for Cryptocurrency - Laxmicoin - ICO,2019-02-22 09:37:17,2019-02-24 20:25:04,,Solidity,0,2.0,mdsalik7
SmartContracts,https://github.com/iulianivg/SmartContracts,172103140,,2019-02-22 17:02:14,2019-04-12 23:12:18,,Solidity,0,1.0,iulianivg
Meditrack-Solidity,https://github.com/pnalvarez/Meditrack-Solidity,172162933,Smart contracts for the Meditrack dApp,2019-02-23 02:42:06,2019-02-24 16:20:07,,Solidity,0,2.0,pnalvarez
solidity-examples,https://github.com/ethential/solidity-examples,172514764,Solidity examples using Etheratom,2019-02-25 13:50:39,2021-07-01 16:35:32,,Solidity,3,2.0,ethential
COMP6452-19T1,https://github.com/WayneJz/COMP6452-19T1,172686792,COMP6452 Software Architecture for Blockchain Applications 2019T1,2019-02-26 10:09:13,2019-06-04 03:46:18,,Solidity,0,2.0,WayneJz
ESTONN_Token,https://github.com/estonn/ESTONN_Token,172718875,,2019-02-26 13:40:36,2022-04-28 12:32:42,,Solidity,0,1.0,estonn
sysethereum-contracts,https://github.com/syscoin/sysethereum-contracts,172771295,Syscoin <=> Ethereum bridge smart contracts,2019-02-26 18:58:30,2022-02-12 16:05:08,http://bridge.syscoin.org,Solidity,15,13.0,syscoin
payments-smart-contracts,https://github.com/mysteriumnetwork/payments-smart-contracts,172914198,Smart contracts for payments flow,2019-02-27 12:46:21,2022-04-22 22:26:57,,Solidity,10,24.0,mysteriumnetwork
signature-verification,https://github.com/godappslab/signature-verification,173052519,Signature verification implementation for EIP712,2019-02-28 06:13:27,2019-03-29 03:21:02,https://lab.godapps.io/eip712-token-exchange-verification,Solidity,0,4.0,godappslab
hackathon-registrar,https://github.com/ensdomains/hackathon-registrar,173084438,A simple ENS registrar for Hackathons,2019-02-28 09:42:27,2020-11-11 13:35:45,,Solidity,5,5.0,ensdomains
magic-degen,https://github.com/magic990619/magic-degen,173261293,,2019-03-01 08:08:36,2022-04-09 15:56:15,,Solidity,2,3.0,magic990619
Soliditemp,https://github.com/k06a/Soliditemp,173353647,TruffleFramework template with travis-ci.org and coveralls.io configured,2019-03-01 19:00:06,2022-02-11 23:15:39,,Solidity,6,6.0,k06a
uniswap-solidity,https://github.com/PhABC/uniswap-solidity,173393130,Solidity implementation of Uniswap contracts,2019-03-02 02:16:36,2019-05-11 04:42:22,,Solidity,32,66.0,PhABC
Contracts_ETH,https://github.com/Ferwoo/Contracts_ETH,173404526,solidity,2019-03-02 04:49:12,2021-02-03 14:40:00,,Solidity,0,0.0,Ferwoo
EternalStorage,https://github.com/juliofaura/EternalStorage,173454294,An Eternal Storage implementation to separate storage and logic in Ethereum smart contracts,2019-03-02 13:56:29,2021-03-06 17:40:51,,Solidity,0,0.0,juliofaura
barabah,https://github.com/draych/barabah,173537221,"Smart Contract with  DApps, Truffle, Web3.Js",2019-03-03 06:01:58,2019-03-04 01:22:26,,Solidity,0,0.0,draych
Token-Contracts,https://github.com/DOSNetwork/Token-Contracts,173555235,,2019-03-03 09:33:17,2021-04-13 10:12:28,,Solidity,1,42.0,DOSNetwork
CubeCore,https://github.com/lfduh/CubeCore,173596634,ERC20 Token,2019-03-03 16:01:31,2022-04-13 02:06:13,,Solidity,0,0.0,lfduh
ERC1820,https://github.com/0xjac/ERC1820,173671097,Pseudo-introspection Registry Contract (Official Implementation),2019-03-04 04:01:37,2019-04-03 17:29:23,,Solidity,26,33.0,0xjac
smart-contracts,https://github.com/pierback/smart-contracts,173742921,,2019-03-04 12:42:51,2019-08-26 19:44:42,,Solidity,0,0.0,pierback
BlockTrivia,https://github.com/seankchapman/BlockTrivia,173786768,A simple trivia game written in Solidity in an afternoon. Winner at GWU's Hackital 2018.,2019-03-04 17:05:10,2021-04-12 21:40:45,,Solidity,0,0.0,seankchapman
Vehicular_Control_Version,https://github.com/francasino/Vehicular_Control_Version,173800643,Smart contract implementation to enable vehicular control version management,2019-03-04 18:40:03,2019-11-12 14:36:33,,Solidity,0,0.0,francasino
medium-code,https://github.com/smiled0g/medium-code,174072326,A repository for hosting codes for Medium articles,2019-03-06 04:37:46,2019-03-06 06:05:54,,Solidity,0,0.0,smiled0g
4ArtCoin,https://github.com/4artechnologies-ag/4ArtCoin,174111685,,2019-03-06 09:15:31,2022-01-18 07:42:56,,Solidity,0,0.0,4artechnologies-ag
WeenusTokenFaucet,https://github.com/bokkypoobah/WeenusTokenFaucet,174259332,"An ERC20 token faucet on the Ethereum mainnet, and Ropsten, Kovan, Rinkeby and Görli testnets",2019-03-07 02:48:38,2022-03-22 06:49:57,,Solidity,19,77.0,bokkypoobah
SmartContract,https://github.com/NOVA-QYT/SmartContract,174314408,"????????,??Solidity",2019-03-07 09:33:59,2022-03-24 13:38:35,,Solidity,0,0.0,NOVA-QYT
Ethereum-smartcontract-samples,https://github.com/JasperFajardo16/Ethereum-smartcontract-samples,174347294,,2019-03-07 13:17:43,2019-03-07 13:20:46,,Solidity,0,1.0,JasperFajardo16
mix-token,https://github.com/acuity-social/mix-token,174467640,Base contract for implementing MIX tokens.,2019-03-08 04:13:54,2020-01-03 19:35:39,,Solidity,0,1.0,acuity-social
Blockchain-Programming,https://github.com/leocasanova/Blockchain-Programming,174563727,,2019-03-08 15:42:42,2020-09-13 23:40:18,,Solidity,0,0.0,leocasanova
smart-contract,https://github.com/Instadapp/smart-contract,174743928,InstaDApp Smart Contracts.,2019-03-09 20:41:13,2020-02-09 07:25:36,,Solidity,35,62.0,Instadapp
delight-contracts,https://github.com/DPlayGames/delight-contracts,174790736,?? Delight on DPlay Smart Contracts,2019-03-10 07:19:36,2022-03-30 06:31:30,,Solidity,0,4.0,DPlayGames
ERC884-sample-token,https://github.com/EG-easy/ERC884-sample-token,174809973,,2019-03-10 10:46:03,2019-03-10 10:47:24,,Solidity,0,0.0,EG-easy
dpass,https://github.com/Cdiamondcoin/dpass,175016291,Dpass contract,2019-03-11 14:21:56,2020-02-03 16:47:30,,Solidity,1,0.0,Cdiamondcoin
smart-contract-repository,https://github.com/blockinator/smart-contract-repository,175049406,Smart Contract Repository for Ethereum and Binance Smart Chain,2019-03-11 17:20:57,2021-09-01 22:36:41,,Solidity,4,7.0,blockinator
tokenbridge,https://github.com/rsksmart/tokenbridge,175080351,A bidirectional Ethereum / RSK Token Bridge implementation.,2019-03-11 20:39:22,2022-04-28 20:21:17,https://tokenbridge.rsk.co/,Solidity,43,69.0,rsksmart
Solidity-Data-Structures,https://github.com/denalimarsh/Solidity-Data-Structures,175081708,A collection of common data structures implemented in Solidity + JavaScript unit tests.,2019-03-11 20:50:39,2019-03-13 00:18:47,,Solidity,0,0.0,denalimarsh
Some-Solidity-Examples,https://github.com/pythonsolidity/Some-Solidity-Examples,175130241,Some basic yet demonstrative Solidity smart contract examples,2019-03-12 03:42:37,2019-04-30 21:48:48,,Solidity,0,1.0,pythonsolidity
inosurvey-ethereum,https://github.com/3WDJ-Team-07/inosurvey-ethereum,175140273,,2019-03-12 05:16:38,2019-05-12 17:14:44,,Solidity,0,1.0,3WDJ-Team-07
Ethereum-smart-contract-Blockchain,https://github.com/juanlux7/Ethereum-smart-contract-Blockchain,175155708,"A Decentralized Application with Solidity, Javascript and ReactJS. This is a simple lottery game with a couple of interesting functions, testing part with Mocha. Just playing around with Smart contracts and Blockchain",2019-03-12 07:16:17,2019-03-15 23:07:08,,Solidity,0,0.0,juanlux7
token-faucet,https://github.com/makerdao/token-faucet,175245519,Mostly well behaved ERC20s faucet,2019-03-12 15:43:36,2021-09-17 21:13:04,,Solidity,17,9.0,makerdao
